Financial Year Ending,Utility Name,Project Name,Project Expenditure,Notes
2021,Water Corporation,Total Asset Investment Program,$708.5 million,Total committed to asset investment projects across the State.
2021,Water Corporation,Metropolitan Water Network and Supply,$158.7 million,Includes $10 million for the Groundwater Replenishment Scheme.
2021,Water Corporation,Essential and Municipal Services Upgrade,$12.0 million,"Upgrades for Aboriginal communities (Mowanjum, Bayulu, and Bidyadanga)."
2021,Water Corporation,METRONET Pipe Relocation,$3.0 million,"Relocation at Albany Highway, Kelvin, and Olga Roads intersection."
2021,Water Corporation,York Wastewater Treatment Plant,$2.1 million,Upgrades to treatment and disposal capacity.
2021,Water Corporation,Coral Bay Wastewater Treatment Plant,"$200,000",Construction of lined evaporation and infiltration ponds.
2021,Bunbury Water Corporation,Total Asset Investment Program,$15.8 million,Total AIP budget.
2021,Bunbury Water Corporation,Bunbury Water Resource Recovery Scheme,$11.9 million,WA Recovery Plan initiative to provide recycled water.
2021,Busselton Water Corporation,Total Asset Investment Program,$2.9 million,Total AIP budget.
2022,Water Corporation,Total Asset Investment Program,$699.2 million,Total AIP budget.
2022,Water Corporation,Metropolitan Water Network and Supply,$133.3 million,Ongoing supply of drinking water and facility development.
2022,Water Corporation,Wastewater Projects,$85.3 million,Includes Broome North ($19.2 million) and Collie/Kemerton WTPs ($7.4 million).
2022,Water Corporation,COVID-19 Response,$9.9 million,Regional water and wastewater infrastructure upgrades.
2022,Water Corporation,Essential and Municipal Services Upgrade,$6.5 million,Delivered to Aboriginal communities for improved services.
2022,Water Corporation,Moora Kolburn Water Treatment Plant,$3.7 million,Upgrade plant performance and capacity.
2022,Water Corporation,Gross Pollution Traps,$2.5 million,Election commitment to reduce plastic pollution into waterways.
2022,Water Corporation,Morley Galleria Drainage Basin,"$100,000",Improve appearance and perimeter fencing.
2022,Bunbury Water Corporation,Total Asset Investment Program,$18.5 million,Total AIP budget.
2022,Busselton Water Corporation,Total Asset Investment Program,$3.8 million,Total AIP budget.
2023,Water Corporation,Total Asset Investment Program,$648.3 million,Total AIP budget.
2023,Water Corporation,Metropolitan Wastewater Treatment Projects,$195.3 million,Includes Woodman Point plant upgrade ($44.7 million).
2023,Water Corporation,Metropolitan Water Network and Supply,$140.9 million,Includes Talbot Road pipe renewal ($8.0 million).
2023,Water Corporation,Regional Water Projects,$98.8 million,Includes Merredin pipe ($5.2 million) and Moora Kolburn WTP ($4.5 million).
2023,Water Corporation,Regional Wastewater Projects,$37.9 million,Enhancing capacity and compliance.
2023,Water Corporation,COVID-19 Response,$10.5 million,Infrastructure upgrades to drive economic and social recovery.
2024,Water Corporation,Total Asset Investment Program,$1.11 billion,Total AIP budget.
2024,Water Corporation,Metropolitan Wastewater Treatment Projects,$202.4 million,Includes Woodman Point Water Resource Recovery Facility ($57.0 million).
2024,Water Corporation,Regional Water Projects,$202.3 million,Includes Onslow WTP ($30.2 million) and South Hedland storage tank ($9.9 million).
2024,Water Corporation,Relocation and Augmentation of Network Assets,$85.0 million,Relocation of water network assets.
2024,Water Corporation,Regional Wastewater Projects,$52.8 million,Includes Broome North Water Resource Recovery Facility ($7.2 million).
2024,Water Corporation,Remote Aboriginal Communities Accelerated Works,$19.0 million,Delivered under the COVID-19 response.
2024,Water Corporation,Wanneroo South Groundwater Scheme Stage One,$7.4 million,Drilling and equipping of production bores.
2024,Bunbury Water Corporation,Total Asset Investment Program,$13.5 million,Total AIP budget.
2024,Busselton Water Corporation,Total Asset Investment Program,$8.6 million,Total AIP budget.
2025,Water Corporation,Total Asset Investment Program,$1.70 billion,Total AIP budget.
2025,Water Corporation,Metropolitan Wastewater Treatment and Network,$297.1 million,Upgrades across northern and southern corridors.
2025,Water Corporation,Relocation and Augmentation of Network Assets,$156.8 million,Broad relocation of water assets.
2025,Water Corporation,Regional Water Projects,$153.9 million,Includes Onslow WTP ($44.7 million) and Burrup Seawater Supply ($42.7 million).
2025,Water Corporation,Flat Rocks Wind Farm Stage 2,$94.4 million,Renewable energy powering desalination plants.
2025,Water Corporation,Regional Wastewater Projects,$49.3 million,Includes Ulster Road Albany pressure main ($14.3 million) and sewer relining ($6.0 million).
2025,Water Corporation,Metropolitan Critical Water Reticulation Renewals,$30.4 million,Reduces asset failure risks across the metropolitan area.
2025,Water Corporation,Remote Aboriginal Communities Accelerated Works,$28.6 million,Improved water services to remote communities.
2025,Water Corporation,Regional Irrigation Projects,$25.4 million,Includes the Ord Irrigation Scheme ($22.6 million).
2025,Water Corporation,Election Commitments,$20.0 million,Includes Essential and Municipal Services ($14.9 million) and Albert St Drain ($5.0 million).
2025,Water Corporation,Talbot Road Pipe Renewal,$9.3 million,Securing supply in Hazelmere and Helena Valley.
2025,Bunbury Water Corporation,Total Asset Investment Program,$18.7 million,Total AIP budget.
2025,Busselton Water Corporation,Total Asset Investment Program,$9.8 million,Total AIP budget.
2026,Water Corporation,Total Asset Investment Program,$2.22 billion,Total AIP budget.
2026,Water Corporation,Regional Wastewater Projects,$110.0 million,Includes Northam WRRF ($26.5 million) and Waroona WRRF ($12.0 million).
2026,Water Corporation,Regional Irrigation Projects,$36.2 million,Includes the Ord Irrigation Scheme upgrade ($35.0 million).
2026,Bunbury Water Corporation,Total Asset Investment Program,$23.3 million,Total AIP budget.
2026,Busselton Water Corporation,Total Asset Investment Program,$10.0 million,Total AIP budget.
2027,Water Corporation,Total Asset Investment Program,$2.68 billion,Total AIP budget.
2027,Bunbury Water Corporation,Total Asset Investment Program,$37.0 million,Total AIP budget.
2027,Busselton Water Corporation,Total Asset Investment Program,$6.6 million,Total AIP budget.
